filename,author,realname,author_birth_year,author_death_year,author_sex,title,year,firstprint_description,edition_year,edition,genre,id
1970s/krugovyh.urka_syn_komandira.1979_1985.vert,"Круговых, Николай Петрович",,1926,1944,м,Юрка — сын командира,1979,"Юрка — сын командира. Повесть [Для мл. шк. возраста], Минск: Маст. лiт., 1979",1985,"Юрка — сын командира. Повесть [Для мл. шк. возраста], Минск: Юнацтва, 1985",realism,krugovyh.urka_syn_komandira
1970s/kumma_runghie.vtoraia_taina_zolotogho_kliuchika.1975_1998.vert,"None, None None;None, None None",,1929;1927,2011;2003,м;м,Вторая тайна золотого ключика,1975,"Вторая тайна золотого ключика, М.: Советская Россия, 1975",1998,"Вторая тайна золотого ключика, Мiнск: Унiверсiцэцкае, 1998",skazka,kumma_runghie.vtoraia_taina_zolotogho_kliuchika
1970s/kvin.vezet_zhe_ludiam.1978.vert,"Квин, Лев Израилевич",,1922,1996,м,Везёт же людям!,1979,"Везет же людям. Повести [Для ст. и сред. шк. возраста], Барнаул: Алт. кн. изд-во, 1979",1979,"Везет же людям. Повести [Для ст. и сред. шк. возраста], Барнаул: Алт. кн. изд-во, 1979",realism,kvin.vezet_zhe_ludiam
1970s/leonov.derevyannoe_solnyshko.1979.vert,"Леонов, Леонид Максимович",,1899,1994,м,Деревянное солнышко,1979,"Деревянное солнышко. Повести [Для ст. возраста], М.: Дет. лит., 1979",1979,"Деревянное солнышко. Повести [Для ст. возраста], М.: Дет. лит., 1979",realism,leonov.derevyannoe_solnyshko
1970s/levchenko.piatsot_veselyi.1979.vert,"Левченко, Анатолий Арсентьевич",,None,None,м,Пятьсот весёлый,1979,"Пятьсот веселый. Повесть [Для ст. шк. возраста], Свердловск: Сред.-урал. кн. изд-во, 1979",1979,"Пятьсот веселый. Повесть [Для ст. шк. возраста], Свердловск: Сред.-урал. кн. изд-во, 1979",realism,levchenko.piatsot_veselyi
1970s/lialenkov.znamenitaya_tankovaya.1979.vert,"Ляленков, Владимир Дмитриевич",,1930,None,м,Знаменитая танковая,1979,"Знаменитая танковая. Повесть [О Кантемир. танк. дивизии : Для мл. возраста], Л.: Дет. лит. Ленингр. отд-ние, 1979",1979,"Знаменитая танковая. Повесть [О Кантемир. танк. дивизии : Для мл. возраста], Л.: Дет. лит. Ленингр. отд-ние, 1979",realism,lialenkov.znamenitaya_tankovaya
1970s/lihanov_albert.moy_general.1975_1985.vert,"Лиханов, Альберт Анатольевич",,1935,2021,м,Мой генерал,1975,"Мой генерал. Роман [Для детей мл. возраста], М.: Дет. лит., 1975",1985,"Мой генерал. Роман [Для мл. шк. возраста], Минск: Юнацтва, 1985",realism,lihanov_albert.moy_general
1970s/likhanov.dereviannye_koni.1971.vert,"Ликстанов, Иосиф Исаакович",,1900,1955,м,Деревянные кони,1971,"Музыка, М.: Детская литература, 1971",1971,"Музыка, М.: Детская литература, 1971",realism,likhanov.dereviannye_koni
1970s/likhanov.krutye_gory.1971.vert,"Лиханов, Альберт Анатольевич",,1935,2021,м,Крутые горы,1971,"Музыка, М.: Детская литература, 1971",1971,"Музыка, М.: Детская литература, 1971",realism,likhanov.krutye_gory
1970s/likhanov.labirint.1970.vert,"Лиханов, Альберт Анатольевич",,1935,2021,м,Лабиринт,1970,"Лабиринт, М.: Молодежная гвардия, 1970",1970,"Лабиринт, М.: Молодежная гвардия, 1970",realism,likhanov.labirint
